main_category,sub_category,url
건강,질병치료/예방,https://book.naver.com/category/index.naver?cate_code=140020&tab=top100&list_type=list&sort_type=salecount
건강,건강운동 기타,https://book.naver.com/category/index.naver?cate_code=140050&tab=top100&list_type=list&sort_type=salecount
취미/레저,꽃꽂이,https://book.naver.com/category/index.naver?cate_code=150050&tab=top100&list_type=list&sort_type=salecount
취미/레저,뜨개질/퀼트/십자수,https://book.naver.com/category/index.naver?cate_code=150010&tab=top100&list_type=list&sort_type=salecount
취미/레저,비즈/구슬공예,https://book.naver.com/category/index.naver?cate_code=150020&tab=top100&list_type=list&sort_type=salecount
취미/레저,선물포장/리본공예,https://book.naver.com/category/index.naver?cate_code=150030&tab=top100&list_type=list&sort_type=salecount
취미/레저,옷만들기,https://book.naver.com/category/index.naver?cate_code=150040&tab=top100&list_type=list&sort_type=salecount
취미/레저,가구/DIY,https://book.naver.com/category/index.naver?cate_code=150110&tab=top100&list_type=list&sort_type=salecount
취미/레저,바둑/장기,https://book.naver.com/category/index.naver?cate_code=150070&tab=top100&list_type=list&sort_type=salecount
취미/레저,사진/비디오,https://book.naver.com/category/index.naver?cate_code=150090&tab=top100&list_type=list&sort_type=salecount
취미/레저,애완동물,https://book.naver.com/category/index.naver?cate_code=150080&tab=top100&list_type=list&sort_type=salecount
취미/레저,원예/조경,https://book.naver.com/category/index.naver?cate_code=150100&tab=top100&list_type=list&sort_type=salecount
취미/레저,퍼즐/스도쿠,https://book.naver.com/category/index.naver?cate_code=150060&tab=top100&list_type=list&sort_type=salecount
취미/레저,골프,https://book.naver.com/category/index.naver?cate_code=150130&tab=top100&list_type=list&sort_type=salecount
취미/레저,낚시,https://book.naver.com/category/index.naver?cate_code=150150&tab=top100&list_type=list&sort_type=salecount
취미/레저,달리기/마라톤,https://book.naver.com/category/index.naver?cate_code=150160&tab=top100&list_type=list&sort_type=salecount
취미/레저,등산,https://book.naver.com/category/index.naver?cate_code=150140&tab=top100&list_type=list&sort_type=salecount
취미/레저,레저/스포츠기타,https://book.naver.com/category/index.naver?cate_code=150170&tab=top100&list_type=list&sort_type=salecount
취미/레저,취미기타,https://book.naver.com/category/index.naver?cate_code=150120&tab=top100&list_type=list&sort_type=salecount
여행/지도,국내여행,https://book.naver.com/category/index.naver?cate_code=270010&tab=top100&list_type=list&sort_type=salecount
여행/지도,해외여행,https://book.naver.com/category/index.naver?cate_code=270020&tab=top100&list_type=list&sort_type=salecount
